 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(주)우신켐텍,서울특별시 ,"서울특별시 중구 칠패로 46, 12층(봉래동1가, 우남빌딩)",37.5595015,126.9740097,도매 및 소매업,중소기업 35,1,1,0,2
(주)원인터시스템,서울특별시 ,"서울특별시 강남구 자곡로7길 4, 102호~104호(자곡동, 아세아ICT센터)",37.4660796,127.1095966,도매 및 소매업,중소기업 29,0,0,1,1
(주)웨인테크놀로지,서울특별시 ,"서울특별시 구로구 디지털로 34길 55, 1314~1315호(구로동, 코오롱싸이언스밸리2차)",37.4842333,126.8992725,정보통신업,중소기업 63,1,0,0,1
(주)유니와이드테크놀러지,서울특별시 ,"서울특별시 구로구 디지털로26길 5, 1404호 (구로동, 에이스하이엔드타워1차)",37.4815733,126.8934683,제조업,중소기업 4,0,0,1,1
(주)유니정보,서울특별시 ,"서울특별시 금천구 가산디지털1로 171, 513호 (가산동, 가산 SK V1 센터)",37.4806318,126.8805702,도매 및 소매업,중소기업 61,0,1,1,2
(주)유브레인커뮤니케이션즈,서울특별시 ,"서울특별시 마포구 창전로 90, 6층 (신수동, 지씨빌딩)",37.5504263,126.9332479,"전문, 과학 및 기술 서비스업",중소기업 47,0,1,1,2
(주)유창하이텍,서울특별시 ,"서울특별시 영등포구 버드나루로 50, 2층(영등포동2가, 리버타워오피스텔) ",37.5229834,126.9111717,제조업,중소기업 75,1,1,1,3
(주)이너버스,서울특별시 ,"서울특별시 영등포구 양평로21길 26, 1604~7호(양평동5가, 아이에스비즈타워)",37.5367375,126.8930576,정보통신업,중소기업 26,1,1,1,3
(주)이노룰스,서울특별시 ,"서울특별시 송파구 법원로6길 7, 12층(문정동, 유탑테크밸리)",37.5628859,126.9843405,정보통신업,중소기업 76,1,1,1,3
(주)이노시뮬레이션,서울특별시 ,"서울특별시 강서구 마곡중앙8로7길 5(마곡동, 이노캠퍼스)",37.5742249,126.8380453,"전문, 과학 및 기술 서비스업",중소기업 77,1,1,1,3
(주)이노티브아이엔씨,서울특별시 ,"서울특별시 금천구 디지털로9길 99, 611~612호 (가산동, 스타밸리)",37.4816074,126.8848307,도매 및 소매업,중소기업 16,0,0,1,1
(주)이든앤앨리스마케팅,서울특별시 ,"서울특별시 서초구 강남대로 483, 청호타워 12층",37.5053019,127.0236395,"전문, 과학 및 기술 서비스업",중소기업 242,1,1,1,3
(주)이룩디앤시,서울특별시 ,"서울특별시 금천구 가산디지털2로 46, 907호(가산동, 에이스태세라타워)",37.4725879,126.8826347,정보통신업,중소기업 16,0,0,1,1
(주)이씨에스텔레콤,서울특별시 ,서울특별시 서초구 반포대로28길 8,37.490192,127.0091109,기타,중소기업 180,1,1,1,3
(주)이액티브,서울특별시 ,"서울특별시 영등포구 양평로 157, 1411호",37.5355574,126.8987025,정보통신업,중소기업 38,1,1,1,3
(주)이에이엔테크놀로지,서울특별시 ,서울특별시 강남구 테헤란로77길 11-19 EAN빌딩,37.5066325,127.0530454,"전문, 과학 및 기술 서비스업",중소기업 109,1,1,1,3
(주)이엠디넷,서울특별시 ,"서울특별시 금천구 디지털로 130, 1404호 (가산동, 남성프라자)",37.4754508,126.8817091,정보통신업,중소기업 69,0,1,0,1
(주)이엠텍아이엔씨,서울특별시 ,"서울특별시 용산구 청파로 40, 3층 (한강로3가, 삼구빌딩)",37.5317631,126.9560302,도매 및 소매업,중견기업 65,0,1,0,1
(주)이즈파크,서울특별시 ,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동, 에이스하이엔드타워3차)",37.4781156,126.8815677,정보통신업,중소기업 145,1,1,0,2
(주)익진엔지니어링,서울특별시 ,"서울특별시 강남구 역삼로 124, 청보빌딩 6층",37.493628,127.0333273,기타,중소기업 18,1,0,1,2
(주)인더포레스트,서울특별시 ,"서울특별시 강남구 테헤란로77길 11-18, 5층 (삼성동, 창애빌딩)",37.506891,127.0530296,정보통신업,중소기업 20,1,0,1,2
(주)인사커뮤니케이션,서울특별시 ,"서울특별시 성동구 연무장5가길 25, SK V1타워 1007호",37.5433863,127.0554176,정보통신업,중소기업 26,1,1,1,3
(주)인성아이티,서울특별시 ,"서울특별시 영등포구 양평로22길21, 코오롱디지털타워 203~4호",37.5399348,126.8942845,도매 및 소매업,중소기업 18,0,0,1,1
(주)인포큐브,서울특별시 ,"서울특별시 송파구 법원로11길 11, B동 1001,1002,1003호(문정동, 문정현대지식산업센터1-1)",37.4941097,127.0106092,정보통신업,중소기업 13,1,1,1,3
(주)임픽스,서울특별시 ,"서울특별시 동대문구 천호대로 375, 학인빌딩 3층(장안동)",37.570627,127.0706515,정보통신업,중소기업 72,1,1,1,3
(주)잉카엔트웍스,서울특별시 ,"서울특별시 강남구 논현로 608, 1층 (논현동, 덕수빌딩)",37.5158277,127.020128,정보통신업,중소기업 28,1,0,1,2
(주)정도유아이티,서울특별시 ,"서울특별시 강남구 테헤란로38길 29, 5층(역삼동, 이원빌딩)",37.5005059,127.0428253,정보통신업,중소기업 77,1,1,0,2
(주)제이에프엠 ,서울특별시 ,"서울특별시 구로구 디지털로26길 123, 1602호(구로동, 지플러스타워)",37.482941,126.8977956,도매 및 소매업,중소기업 12,1,0,1,2
(주)제이에프엠테크,서울특별시 ,"서울특별시 구로구 디지털로26길 123, 1604호(구로동, 지플러스타워)",37.482941,126.8977956,도매 및 소매업,중소기업 18,1,0,1,2
(주)제이엘아시아,서울특별시 ,"서울특별시 강서구 공항대로 329 , 4층(등촌동, 청호프라자)",37.5582279,126.8442884,도매 및 소매업,중소기업 31,1,1,1,3
(주)제일메디칼코퍼레이션,서울특별시 ,"서울특별시 구로구 디지털로34길 55, 702호(구로 3동, 코오롱싸이언스밸리 2차)",37.4842333,126.8992725,제조업,중소기업 139,1,1,1,3
