 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)엑심베이,"서울특별시 구로구 디지털로26길 111, 1101호(구로동,JNK디지털타워)",정보통신업,중소기업 75,1,1,1,3
오직주식회사,"서울특별시 금천구 가산디지털2로 136, 705호(가산동,승일벤처타워)",정보통신업,중소기업 15,0,0,1,1
주식회사 에프원시큐리티,"서울특별시 금천구 벚꽃로 234, 1402호(에이스하이엔드타워6차)",정보통신업,중소기업 139,1,1,1,3
주식회사 투비원솔루션즈,"서울특별시 송파구 법원로11길 7, C동 1218호(문정동,문정현대지식산업센터1-2)",정보통신업,중소기업 26,1,1,1,3
(주)케이알엔지니어링,"서울특별시 구로구 디지털로34길55, 1212~1214호(구로동,코오롱싸이언스밸리2차)","전문, 과학 및 기술 서비스업",중소기업 84,0,1,0,1
주식회사 더유제약,"서울특별시 영등포구 당산로 171, 1501호(금강펜테리움IT타워)","전문, 과학 및 기술 서비스업",중소기업 193,1,1,1,3
(주)코스모티어,"서울특별시 금천구 가산디지털1로 5, 603호(가산동,대륭테크노타운20차)",정보통신업,중소기업 32,1,1,1,3
(주)토미구조엔지니어링,"서울특별시 구로구 디지털로31길 41, 508호(구로동, 이앤씨벤처드림타워6차)","전문, 과학 및 기술 서비스업",중소기업 14,0,1,1,2
주식회사 스텍,"서울특별시 구로구 디지털로 243, 18층(구로동,지하이시티)",도매 및 소매업,중소기업 47,1,1,0,2
(주)이든앤앨리스마케팅,"서울특별시 강남구 테헤란로87길 36, 1505~7호(삼성동,도심공항타워)","전문, 과학 및 기술 서비스업",중소기업 242,0,0,1,1
양재아이티주식회사,"서울특별시 금천구 가산디지털2로 123, 313호(가산동,월드메르디앙2차)  ",정보통신업,중소기업 42,0,1,0,1
주식회사 데일리팜,"서울특별시 송파구 법원로 128, A동 401호(문정동,문정 SK V1 GL 메트로시티)",정보통신업,중소기업 47,0,1,0,1
페이레터주식회사,"서울특별시 강남구 역삼로 223(역삼동,대사빌딩)",정보통신업,중소기업 134,1,1,0,2
(주)메디칼타임즈,"서울특별시 송파구 법원로 128, A동 413호,B동 505호(문정동,문정 SK V1 GL 메트로시티)",정보통신업,중소기업 18,1,1,1,3
(주)데브구루,"서울특별시 금천구 가산디지털1로 168, A동 1102~1104호(가산동,우림라이온스밸리)",정보통신업,중소기업 25,1,0,1,2
(주)플래티어,"서울특별시 송파구 법원로9길 26, D동 6층",정보통신업,중소기업 233,1,1,1,3
주식회사 큐리어드,"서울특별시 강남구 논현로71길 20, 4층(역삼동,현덕빌딩)",정보통신업,중소기업 28,0,0,1,1
